"","T0","T1","T2","T4","T5","T6","T7","T8"
"",16608.443974359,18108.5946886447,16957.7064652015,17109.6552564103,18664.9543589744,19352.8838424908,20477.3371428571,19564.5203479853
"A2ML1",173943.333333333,207346.666666667,197733.333333333,142475,136933.666666667,111757.666666667,111074,83271.6666666667
"A4GALT",2248.48,2738.36666666667,2847.47333333333,3033.15333333333,3494.93333333333,3154.03333333333,3791.2,3678.63333333333
"AAAS",7508.86666666667,8816.2,7751.4,7851.03333333333,8112.33333333333,8035.4,9205,8033.43333333333
"AADAT",4786.6,6196.46666666667,5709,4665.2,4753.4,7158.86666666667,7799.33333333333,8092.53333333333
"AAED1",755.11,1017.17333333333,911.136666666667,1071.54666666667,1229.79333333333,1523.03333333333,1367.26666666667,1219.52666666667
"AAK1",9110,8485.01666666667,8429.03333333333,8702.35,9864.05,8872.47,9201.04333333333,9378.83333333333
"AAMP",0,0,0,0,0,0,0,0
"AAR2",5902.16666666667,6212.7,5282.43333333333,5315.8,5053.8,6509.13333333333,7690.7,7033.53333333333
"AARS",74962,71953.6666666667,65191.6666666667,47825.3333333333,48826.6666666667,44387.3333333333,45213.6666666667,44487.3333333333
"AARS2",96943.3333333333,112722,106996,80626.6666666667,84670,90400,94477.3333333333,93972.3333333333
"AASDHPPT",23452.6666666667,14815.3333333333,13823.6666666667,6410.53333333333,7074.23333333333,8007.03333333333,9584.93333333333,7393.6
"AASS",106231.333333333,113825.333333333,113484,99608,102857.333333333,101684.333333333,103064.333333333,95229.3333333333
"AATF",25644.6666666667,27391.3333333333,26166,16155.6,16424.4666666667,14453.0333333333,15501.9666666667,14937.2
"ABAT",20611,24672.6666666667,21035.6666666667,22186.3333333333,23893.3333333333,19557.3333333333,24989,19842
"ABCA12",11635.6333333333,11634.4666666667,12246.8666666667,7610.96666666667,7330.36666666667,7507.46666666667,6337.63333333333,6560.4
"ABCA2",4252.63,4132.1,4262.73333333333,3486.4,3714.46666666667,3144.47666666667,3211.30333333333,3165.50333333333
"ABCA5",3457.17333333333,3516.3,3665.43333333333,3305.76666666667,3251.03,2696.53,3101.06666666667,2294.75666666667
"ABCA6",6173.23333333333,6480.43333333333,5913.06666666667,6511.72666666667,6713.73333333333,7770.73333333333,8317.08666666667,7102.57666666667
"ABCA7",433.933333333333,602.766666666667,575.9,324.443333333333,460.666666666667,615.566666666667,693.433333333333,598.333333333333
"ABCB10",81755.3333333333,83882.3333333333,81737.3333333333,64576.6666666667,64126,62572.6666666667,61010,58629
"ABCB6",31946.6666666667,35408,37539.3333333333,32185.3333333333,32517.3333333333,31118.6666666667,32923.6666666667,30453.3333333333
"ABCB7",43293,48077.3333333333,46955.3333333333,34817.6666666667,35581.3333333333,38871.6666666667,40215.3333333333,35167.3333333333
"ABCB8",58465.6666666667,66750.6666666667,62591.3333333333,44416,47130.6666666667,45688,46870.6666666667,42491
"ABCC1",84295,87998.3333333333,86873.6666666667,82754,85716,96829.6666666667,92851,88315.3333333333
"ABCC10",63094,68486.6666666667,62573.6666666667,51931.6666666667,53008.3333333333,60129.6666666667,63570.3333333333,61665
"ABCC2",13202.1333333333,13712.8333333333,15424.4,7412.16666666667,5781.8,6190.1,5620.83333333333,4374.53333333333
"ABCC3",11411.4,14521.0666666667,15056.7666666667,12491.1,12280.0666666667,14371.8333333333,15911.7333333333,13624.2
"ABCC4",20131.6666666667,21224,22102.6666666667,19066,20442.6666666667,20865.3333333333,20948.6666666667,19151.6666666667
"ABCD1",35690.6666666667,38227.3333333333,36608.6666666667,43017.3333333333,52050.3333333333,47739,54191,49407.3333333333
"ABCD3",133222.666666667,141544,143846,99589.3333333333,113622.333333333,145261.666666667,144051.333333333,148269.666666667
"ABCD4",5039.8,6346.6,5161.9,1066.7,948.466666666667,1708.73333333333,1875.76666666667,1430.4
"ABCE1",33771,34363.6666666667,30558.3333333333,27863.3333333333,28751.3333333333,22383,28092.6666666667,22212
"ABCF1",23753.55,25678.55,22710.8333333333,18326.7733166667,17930.8333333333,15761.3566666667,16423.43,13809.705
"ABCF2",70928.6666666667,72266,67562,64955,70772.3333333333,63724.3333333333,70144,68926
"ABCF3",16484.7333333333,19251.4333333333,17864.3,9051.26666666667,8149.1,8271.1,8857.43333333333,9047.53333333333
"ABCG1",4878.36666666667,5481.03333333333,7615.5,6198.36666666667,6236.76666666667,6800.16666666667,7316.9,7083.53333333333
"ABHD10",43145.6666666667,53089,52804.6666666667,38033,42649.3333333333,33140,38594,32047
"ABHD11",30035.6666666667,37793,34166,27778,29285.6666666667,26254.3333333333,27736,24888.3333333333
"ABHD12",53184.6666666667,48921,50387.6666666667,48114.3333333333,63101,48117,58400,69316.6666666667
"ABHD13",3340.8,3240,3066.1,1711.7,1959.93333333333,3483.53333333333,3484.53333333333,4448.06666666667
"ABHD14A-ACY1;ACY1",19062.3333333333,20235.3333333333,20346.3333333333,9804.3,8975.8,7970.03333333333,8906.96666666667,7709.46666666667
"ABHD14B",9310.66666666667,9746.26666666667,9052.5,7947.4,6977.2,6145.7,6190.9,4283.9
"ABHD16A",28000,31710.6666666667,31403.6666666667,26818.3333333333,27868,27044,28793.3333333333,24371.6666666667
"ABHD17A",1223.19333333333,1424.99333333333,1381.41666666667,2344.42666666667,2317.36333333333,2019.48666666667,2238.33333333333,1716.87666666667
"ABHD17B",5247.58666666667,6332.4,6275.36666666667,6749.70333333333,8224.46666666667,5146.25666666667,8827.43333333333,7056.56666666667
"ABHD17C",203.69,128.456666666667,262.59,176.14,380.676666666667,430.36,243.376666666667,300.7
"ABHD4",2037.9,2344.43333333333,2518.9,2768.7,2351.16666666667,2422.06666666667,2545.66666666667,2593.16666666667
"ABHD6",14579.4666666667,14626.2,13475.0666666667,12635,13977.7333333333,12293.5333333333,13321.6,12478
"ABI1",43612,48088.3333333333,40811,42228.6666666667,45433.6666666667,40639.6666666667,46632.3333333333,39062
"ABI2",1273.47666666667,1370.4,1202.27333333333,1349.14666666667,1494.69,1298.26666666667,1581.23333333333,1414.75666666667
"ABLIM1",40118.9866666667,43223.4766666667,45432.5716666667,28967.0533333333,34528.2566666667,29063.46,32580.4633333333,30720.1916666667
"ABLIM2",15808,15517.6666666667,15770.6666666667,8490.03333333333,7692.83333333333,7223.2,6731.06666666667,5303.26666666667
"ABLIM3",59406.3333333333,64253.3333333333,70848.3333333333,80459.3333333333,104876.333333333,91361.6666666667,116704,89693.3333333333
"ABRACL",389,396.866666666667,474.7,620,345.166666666667,337.066666666667,565.466666666667,345.133333333333
"ABT1",6877.9,7149.16666666667,5736.16666666667,5389.65666666667,5284.72666666667,4902.56,4675.98333333333,4755.03333333333
"ACAA1",47522.6666666667,49672.3333333333,49708.6666666667,54215.3333333333,59180.3333333333,53863.3333333333,57731.3333333333,53862
"ACAA2",214880,247010,248466.666666667,198816.666666667,207483.333333333,198896.666666667,211966.666666667,201886.666666667
"ACACA",32100.6666666667,35469,31276,22548,22954.3333333333,19427.3333333333,21218,19918
"ACAD10",51505.6666666667,56406.3333333333,52531.3333333333,51010.6666666667,51463.6666666667,47644.3333333333,46740.6666666667,41758
"ACAD11",34087.3333333333,36223.3333333333,35757.3333333333,38264.6666666667,44823,38653.3333333333,43537,42494
"ACAD8",32173.3333333333,37365,35448.6666666667,33627.6666666667,34535.6666666667,27561.6666666667,31016,26667.6666666667
"ACAD9",183320,211740,202423.333333333,166356.666666667,170000,155826.666666667,168770,154213.333333333
"ACADM",207540,227290,216180,137880.666666667,140118.333333333,134904.333333333,126803.333333333,115972
"ACADS",24032.6666666667,27140.8,26088.3333333333,27759.3333333333,28768,27452.3333333333,29164.6666666667,24720
"ACADSB",59475.3333333333,65534,67264.3333333333,58243,58193.3333333333,48906,49973.6666666667,44570.3333333333
"ACADVL",194966.666666667,216900,215800,205803.333333333,231613.333333333,187163.333333333,206176.666666667,181670
"ACAT1",179529.336666667,191742.176666667,187447.22,138923.656666667,144072.62,126259.545,121569.395,117964.973333333
"ACAT2",10218.9,11907.3666666667,9837.06666666667,13672.2,14005.5666666667,9603.26666666667,11545.1333333333,9401.93333333333
"ACBD3",54766,53651.6666666667,53183,59793.3333333333,70163,56387.6666666667,71853.6666666667,61678.3333333333
"ACBD5",33063.6666666667,34876,35462.6666666667,41486.6666666667,49890,44180.6666666667,50646.6666666667,47286.6666666667
"ACIN1",98811.47,103668.753333333,99834.5266666667,53785.8622222222,52114.0177777778,50155.3122222222,48352.48,47304.1944444444
"ACKR2",172.04,99.74,546.466666666667,3215.9,4948.8,6196.3,7285.7,8440.36666666667
"ACKR3",3350.53333333333,3236.6,3364.23333333333,3583.96666666667,4304.2,3168.06666666667,4487.6,3652.7
"ACLY",86927.6666666667,92826.3333333333,81057.6666666667,85263.3333333333,88481,75054.6666666667,77089,71908.6666666667
"ACO1",2656.2,2608.5,2639.3,1063.31333333333,1003.83333333333,1391.86666666667,1156.45,1397.8
"ACO2",425780,451710,450206.666666667,397320,425540,374456.666666667,383180,361713.333333333
"ACOT1;ACOT2",96808,111148,109030.333333333,87393.3333333333,90900.3333333333,87872.6666666667,91106.6666666667,85910.3333333333
"ACOT11",9826.83333333333,8972.83333333333,10255.6666666667,8390.96666666667,9046.43333333333,8376.7,8435.16666666667,8330.73333333333
"ACOT13",40374.6666666667,45580.6666666667,44253.6666666667,31148.6666666667,31672.1666666667,29882.2,33894.9666666667,28869.6666666667
"ACOT7",42865.3333333333,49085.6666666667,47025,40933,44131.3333333333,39583.6666666667,44840.6666666667,39240.3333333333
"ACOT8",13251.4333333333,15253.6666666667,14413.6666666667,14901.8,16110.3333333333,16378,20035.6666666667,17662.6666666667
"ACOT9",138220,164446.666666667,148613.333333333,143713.333333333,154923.333333333,158003.333333333,169153.333333333,163506.666666667
"ACOX1",39310,45865.3333333333,45292.3333333333,48053,58436,58699,57632.3333333333,55597.3333333333
"ACOX3",55403.3333333333,60096.6666666667,58386.3333333333,83303.6666666667,99658,111892.333333333,127469.333333333,128329.333333333
"ACP1",7829.5,10185.5,8732.7,8652.4,8472.16666666667,7641,7512.33333333333,6580.16666666667
"ACP2",15193.6666666667,16219.3333333333,15660.3333333333,18605.6666666667,22775.6666666667,20094.3333333333,23517,21918.6666666667
"ACP6",3180.1,3922.56666666667,3483.43333333333,3525.63333333333,3658.06666666667,3607.33333333333,4031.26666666667,3532.26666666667
"ACSF2",118074,145583,133937,104838,104265,88924.6666666667,91334.6666666667,77742.6666666667
"ACSF3",129223.333333333,154610,141741.333333333,122485,119447.333333333,116591,127627,104285
"ACSL1",371776.666666667,419043.333333333,380380,282890,273520,229386.666666667,235030,201080
"ACSL3",117027.333333333,122993.333333333,123430,136793.333333333,153423.333333333,142080,160620,148513.333333333
"ACSL4",43147,50105.6666666667,49835.6666666667,67582.6666666667,75830.3333333333,60722.6666666667,80613,55989.6666666667
"ACSL5",29935.6666666667,34937,32107.6666666667,20496,21234,15613.8,20960.6666666667,14259.8
"ACSM3",12976.1333333333,14091.4666666667,13476.3666666667,9530.83333333333,8798.1,8606.53333333333,9382.96666666667,7734.46666666667
"ACSS1",16596.3333333333,18001,23677,13342.4,13168,11143.2666666667,11415.9,10996.5666666667
"ACSS2",2604.5,2785.76666666667,2508.1,2661.96666666667,3038.93333333333,2080.03333333333,2221.06666666667,1854.93333333333
"ACTA2;ACTG2",301.51,404.533333333333,429.233333333333,515.6,273.143333333333,1057.86666666667,956,1066.9
"ACTB",392811.053333333,426949.628333333,404440.885,531438.763333333,666275.961666667,711883.133333333,837378.915,812142.15
"ACTBL2",1981.33333333333,2826.1,2535.96666666667,2856,3520,3796.73333333333,4161.1,3553.6
"ACTC1;ACTA1",83683.3333333333,89598.6666666667,83673,125576.666666667,162639,163072,202372.333333333,208496.666666667
"ACTG1",3560.8,3322.96666666667,3422.86666666667,6520.65,9034.53333333333,9439.73333333333,11118.5,11903.7
"ACTL6A",34787.3333333333,38595.6666666667,38729,39078,41207.6666666667,39161,42052.6666666667,38596
"ACTN1",69550,70083.5622222222,70634.8377777778,126457.818888889,166829.348888889,174600.243333333,224826.548888889,219592.325555556
"ACTN3",5390.73333333333,6282.66666666667,5500.23333333333,3908.41666666667,4190.86666666667,4432.3,4188.7,4562.76666666667
"ACTN4",212037.906666667,212361.683333333,213803.541111111,307020.877777778,378139.144444444,364369.277777778,435447.611111111,398153.277777778
"ACTR10",5984.56666666667,6056.43333333333,5601.43333333333,5760,5938.03333333333,5868.66666666667,6862.26666666667,6627.96666666667
"ACTR1A",41565.3333333333,43328.6666666667,40049.6666666667,36218.3333333333,41383.3333333333,32208.6666666667,37539.6666666667,31821.6666666667
"ACTR1B",4537.7,4555.46666666667,4267.53333333333,2161.06666666667,2418.63333333333,2657.3,3256.3,3465.66666666667
"ACTR2",59193.3333333333,57742,60802,68955.6666666667,80094.3333333333,57358,72689,58320.3333333333
"ACTR3",99557.3333333333,93511.6666666667,97433,113565,130584.333333333,101782,116415,110097.666666667
"ACTR5",8693.2,8861.93333333333,8889.96666666667,8015.4,8351.26666666667,7931.9,8546.5,8861.03333333333
"ACTR8",6639.76666666667,7065.76666666667,6394.7,6084.7,6307,6032.4,6579.63333333333,7057.93333333333
"ACVR1",4294.96666666667,4707.2,4983,5049.76666666667,5216.03333333333,4238.8,5557.4,5147
"ACYP2",8676.26666666667,10003.3333333333,9261.06666666667,8391.7,9170.43333333333,8881.2,9930.56666666667,8371
"ADAM10",42079.3333333333,48754,46075.3333333333,37716,42420.6666666667,37257.6666666667,48086.3333333333,38251.3333333333
"ADAM15",68337,75398.6666666667,71187.6666666667,45017.6666666667,50283.3333333333,43611.3333333333,49455,43511.3333333333
"ADAM17",88021.6666666667,90310.6666666667,87255.6666666667,71044.3333333333,82633.3333333333,77440.6666666667,84085.6666666667,86527
"ADAM19",461.956666666667,702.566666666667,538.373333333333,645.51,768.59,916.5,1423.1,1169.96666666667
"ADAM9",62491.6666666667,77834,84027,95459,121687.333333333,79604,125760.333333333,87260
"ADAMTS7",78.49,0,0,95.2433333333333,67.0133333333333,119.46,107.92,105.59
"ADAR",240516.666666667,258376.666666667,257440,221913.333333333,239726.666666667,229403.333333333,241863.333333333,223630
"ADARB1",266.663333333333,73.5666666666667,211.316666666667,219.973333333333,148.72,264.4,126.003333333333,129.91
"ADCK1",5184.10666666667,3590.62666666667,4936.10333333333,3969.16,4283.33333333333,4017.26666666667,3001.86333333333,3561.87
"ADCK3",68542.3333333333,78311,72388,52184.3333333333,51324.3333333333,47951.6666666667,48073.6666666667,38739.6666666667
"ADCK4",50262.6666666667,51621,52607.6666666667,36288,36867.3333333333,40584,40354.6666666667,39524.3333333333
"ADCK5",8611.66666666667,7817.33333333333,8678.33333333333,7551.66666666667,6465.26666666667,7624.66666666667,6251.33333333333,6693.63333333333
"ADCY3",2067.46666666667,2665.56666666667,2946.66666666667,1706.04333333333,2275.13333333333,2471.8,2842.56666666667,2715.46666666667
"ADCY6;ADCY5",1849.36666666667,3059.93333333333,2678.96666666667,2411.7,2368,2965.13333333333,3695.23333333333,2549.43333333333
"ADCY7",5596.23333333333,5449.25,4796.87666666667,5785.93333333333,7120.3,6867.36666666667,7924.9,7022.93333333333
"ADCY9",10007.6,10481.2666666667,10091.1333333333,10828.6333333333,10704.0666666667,11133.0333333333,12174.5,11911.8666666667
"ADD1",43578.6666666667,44449.6666666667,41640.3333333333,35266.6666666667,35638.6666666667,33753.3333333333,34598.6666666667,31984.6666666667
"ADD3",19192.4666666667,20018.3333333333,18697.3,17076.0666666667,17253.0333333333,16433.6666666667,20754.8333333333,16441.3
"ADGRL2;LPHN2",8083.03333333333,8480.4,7875.16666666667,10126.6333333333,9134.36666666667,7670.36666666667,9266.73333333333,7256.1
"ADH5",39801,40326.3333333333,42989,26340.6666666667,28604,26165,30988,25483
"ADI1",3342.9,3082.76666666667,2937.16666666667,2562.83333333333,2191.93333333333,2507.23333333333,2814.33333333333,2807.13333333333
"ADIPOQ",15056.3333333333,13617.8,13922.5333333333,10957.8,9743.3,5578.06666666667,5213.9,3840.58
"ADIPOR1",4359.76,5370.80333333333,6101.11666666667,4978.26333333333,5344.63333333333,5297.77666666667,4819.41,5415.88666666667
"ADIRF",46314.6666666667,53238.3333333333,44362.6666666667,22598.3333333333,18836.6666666667,17759.3333333333,14885.3333333333,12919.3333333333
"ADK",18637.3333333333,19480.3333333333,20395.6666666667,12970,13404.6666666667,11641.6666666667,12817.9333333333,9982.9
"ADNP",65594.3333333333,70036.6666666667,67009.3333333333,63567,63049.3333333333,51591,54940.6666666667,48960.6666666667
"ADNP2",1269,1421.03333333333,947.366666666667,1610,1330.33333333333,1209.2,1390.01,1296.06666666667
"ADO",16954,19029.3333333333,19025.6666666667,18243.3333333333,20661,18887.6666666667,20381,20203.3333333333
"ADPGK",28419.3333333333,28985.3333333333,29958.6666666667,28589.6666666667,35490.3333333333,29147.3333333333,37096,32891.6666666667
"ADPRHL2",28113,31996,30272.3333333333,24998.3333333333,25108.6666666667,24943.6666666667,26153.6666666667,24459
"ADRB2",7943.16666666667,8067.86666666667,8735.6,6388.36666666667,6431.53333333333,6740.76666666667,6031.43333333333,5509.16666666667
"ADRM1",11833.8666666667,11414.5,10599.4666666667,3641.46666666667,4375.4,5433.7,4213.43333333333,5655.36666666667
"ADSS",25487.3333333333,24423,24723.3333333333,22672.3333333333,22174.6666666667,18921.6666666667,20981,17870.5333333333
"AFAP1",14151.3,14964.1,14216.3,12212.6333333333,14082.6,17203.3333333333,16940.3333333333,17457
"AFAP1L2",1497.86333333333,1508.74333333333,1554.44666666667,3145.96666666667,3807.36666666667,3319,3535.23333333333,3445.7
"AFF1",927.58,834.256666666667,543.103333333333,328.49,328.436666666667,261.08,348.793333333333,302.326666666667
"AFF4",15864,13878.9333333333,13683.7,13540.4666666667,13098.3666666667,10507.2333333333,11810.4333333333,9905.2
"AFG3L2",365596.666666667,367793.333333333,371416.666666667,201196.666666667,199530,197970,187740,184573.333333333
"AFTPH",1158.41333333333,1253.07666666667,1029.91333333333,858.83,790.17,559.37,533.836,916.336666666667
"AGA",19247.6666666667,21998,21335.6666666667,24385,25684,19028.3333333333,26999.3333333333,25514.6666666667
"AGAP1",5523,5500.63333333333,5085,3545.16666666667,3646.08,4958.36666666667,4445.93333333333,4401.03333333333
"AGAP3",2167.36666666667,3087.96666666667,1789.5,1441.12,1520.86666666667,2321.2,2912.43333333333,1730.14666666667
"AGFG1",39614.3333333333,41577,36998.6666666667,31947.3333333333,33548.3333333333,28930.3333333333,31898.3333333333,24499.6666666667
"AGFG2",952.866666666667,1353.86666666667,1027.5,257.196666666667,304.883333333333,376.033333333333,650.19,513.526666666667
"AGK",78512.29,81411.68,82355.8383333333,44367.3133333333,46440.9866666667,45459.09,45520.9166666667,45772.58
"AGL",31407.6666666667,36067,34070.6666666667,29588.6666666667,32029,32032.6666666667,34120.3333333333,31496.3333333333
"AGO1",23524.6666666667,25476.3333333333,25539.6666666667,24632.3333333333,26316.6666666667,23059.2333333333,26665,23544.8333333333
"AGO2",82196.6666666667,87103.3333333333,92560.6666666667,68958,74990,70963.3333333333,83824,71653.6666666667
"AGO3",21519.6666666667,20162.3333333333,21915,18092.3333333333,19895.6666666667,18890,19002.3333333333,20022.6666666667
"AGPAT1",16671.5666666667,15484.3,15879.0333333333,9221.5,10837,11637.5,13661,13767.5333333333
"AGPAT2",15425.6,15965.9,15181.7,20451.7666666667,23824.3333333333,21995.1,23207.5333333333,22712.6333333333
"AGPAT3",58469.3333333333,68162,64825,55778.3333333333,59684.6666666667,55648.6666666667,63593.6666666667,55483.3333333333
"AGPAT4",20463.3333333333,22281.3333333333,20457,25105.6666666667,27830.3333333333,29348,32799,33327.6666666667
"AGPAT5",56683.3333333333,63142.3333333333,62059,33262.3333333333,35121.3333333333,34037.3333333333,34605.3333333333,31895.6666666667
"AGPAT6",11581.0666666667,13201.3,12969.3333333333,16752.6333333333,20396,18028.3333333333,21056.6666666667,18448
"AGPS",49898,57319,56742.3333333333,56303.6666666667,65763.6666666667,63240,81279.6666666667,65854.6666666667
"AGRN",102990.666666667,121394.333333333,117650,125345.333333333,137150,121014,135861.333333333,121165
"AGTRAP",5162.9,5375.78333333333,5535.03333333333,5664.68,5874.435,6562.45166666667,6819.18333333333,6562.85166666667
"AHCTF1",185560,199303.333333333,197650,182776.666666667,186836.666666667,167250,169193.333333333,148582
"AHCY",49237,47626.6666666667,46204.3333333333,44656.6666666667,46628.6666666667,38922,41352.3333333333,37700
"AHCYL1",27333.3333333333,23804.8,17702.3333333333,12455.2333333333,14731.9,16723.3333333333,22060.6,18796.2
"AHCYL2",49827.6666666667,42116,34641,24801,25664,26479.3333333333,23563.3333333333,26344.6666666667
"AHDC1",5179.66666666667,5359.7,4731.56666666667,5513.43333333333,6501.33333333333,5322.1,5459.23333333333,5160.83333333333
"AHNAK",3503200,3497500,3410766.66666667,3037633.33333333,3015966.66666667,2353900,2457666.66666667,1977166.66666667
"AHNAK2",900756.666666667,877503.333333333,944190,795636.666666667,830746.666666667,693833.333333333,809163.333333333,655690
"AHSA1",13053.9666666667,13053.2,12983.6666666667,8359.66666666667,8325.3,7625.13333333333,7812.03333333333,8495.4
"AIDA",12849.6,11083.2666666667,11826.4,18662.6666666667,21009.6666666667,17216.8666666667,21163.3333333333,19547
"AIF1L",16064.6666666667,17736,16410,10826.6666666667,10979.8666666667,13936.2333333333,13747.6,14157.7
"AIFM1",141663.333333333,154226.666666667,156140,122116.666666667,119983.333333333,110281,115016.666666667,102904.333333333
"AIFM2",8813.6,10421.3,8922.16666666667,7898.46666666667,8979.53333333333,8024.5,9687.86666666667,8306.8
"AIM1",251053.333333333,247723.333333333,246613.333333333,196770,202623.333333333,185793.333333333,181233.333333333,161025.333333333
"AIM1L",38758.3333333333,43711,40295.3333333333,30748,28067.3333333333,27922.6666666667,25637.3333333333,23293
"AIMP1",48079,44796.3333333333,42504.3333333333,38918.6666666667,39671,34452.3333333333,37664.3333333333,34348.6666666667
"AIMP2",53773.6666666667,52348.6666666667,50126.3333333333,35904.6666666667,38373,39940.6666666667,43450,45333.3333333333
"AIP",18732.6666666667,14501.6666666667,14043.1,11155.3666666667,11814.4333333333,10938.7,10748.1,11539.3666666667
"AJUBA",7950.83333333333,6830.03333333333,6064.26666666667,5702.43333333333,7009.4,5782,6274.1,6739
"AK1",22216.6666666667,22256.6666666667,22388.6666666667,19574,19833,17724,18681.3333333333,18548.3333333333
"AK2",171209,183920,182470,193190,209500,167799.333333333,177859,161320.666666667
"AK3",189463.333333333,210680,198856.666666667,195463.333333333,204806.666666667,180616.666666667,188956.666666667,173600
"AK4",86590,96605,91012.6666666667,78452.6666666667,82692,76283.6666666667,74017.3333333333,70378.6666666667
"AKAP1",118972,122799.333333333,111762.666666667,65646.3333333333,67163.6666666667,60842.3333333333,60978,61782
"AKAP12",79.3933333333333,422.836666666667,59.83,289.96,1183.55666666667,1801.02666666667,861.49,567.033333333333
"AKAP13",96368.3333333333,91209,91707.3333333333,73656.3333333333,79844.3333333333,67194.6666666667,69909,62375.3333333333
"AKAP17A",50488.6666666667,50513,46526,38006.6666666667,43486.3333333333,44320,47091.3333333333,48787.3333333333
"AKAP2",34723.6666666667,35274.6666666667,35280.3333333333,42755.6666666667,52541.3333333333,50916.3333333333,60389.3333333333,48795.6666666667
"AKAP4",295.006666666667,344.833333333333,302.82,282.193333333333,381.666666666667,322.023333333333,414.233333333333,257.43
"AKAP8",55286.3333333333,55221.6666666667,54028.6666666667,51254,60384.3333333333,66317,70832.6666666667,77144
"AKAP8L",32691.3333333333,29665.6666666667,30887,27073.3333333333,29853.3333333333,28876,32730.3333333333,32242
"AKAP9",50474.6666666667,50227.6666666667,48683,47661.3333333333,49609.3333333333,48902,47262.3333333333,49052.6666666667
"AKR1A1",42714.3333333333,41582.6666666667,39924,37798.6666666667,38259.3333333333,30523.6666666667,30594.3333333333,27291
"AKR1B1",61179,74079,68127.6666666667,61987.3333333333,65226.6666666667,51281.3333333333,64209.3333333333,47374
"AKR1C1",252.903333333333,347.7,326.456666666667,389.466666666667,474.366666666667,353.266666666667,398.366666666667,431.6
"AKR1C2",22184.3333333333,23920,25505.3333333333,16823,19605.3333333333,17529.3333333333,22658,17772.6666666667
"AKR1C3",4197.63333333333,5188,5124.16666666667,4824.3,5058.7,3317.46666666667,4134.7,2877.72
"AKR1D1",3860.9,4066.36666666667,4260.93333333333,3937.06666666667,3878.83333333333,3096.46666666667,3121.23333333333,3632.46666666667
"AKR7A2",36270.6666666667,41223.3333333333,40482.6666666667,33123.6666666667,32049.6666666667,30103.6666666667,29778.3333333333,27975.6666666667
"AKT1",13022.6,13780.5333333333,11609.0333333333,12629.6333333333,14724.6666666667,14333.6,14991.5666666667,14219.4
"AKT1S1",2312.16666666667,3258.76,2827.8,2307.23666666667,2264.36,2327.25333333333,2556.26333333333,2027.24666666667
"AKT2",2463.46666666667,3131.03333333333,2472.73333333333,2047.16666666667,2132.3,2114.6,2177.13333333333,1932.96666666667
"ALAS1",7601.36666666667,8459.96666666667,7889.93333333333,10036.9333333333,10730.7333333333,10487.6,10647.1,11461.1
"ALB",1844.47333333333,2046.22,2823.15,2242.64,2423.43333333333,1530.63333333333,3009.73666666667,2153.32333333333
"ALCAM",114500.333333333,120608,123616.666666667,143320,170310,201496.666666667,227616.666666667,239920
"ALDH16A1",23640.0666666667,24297.8,23744.1666666667,22692.1333333333,23549.9666666667,18479,21505.8,18382.2666666667
"ALDH18A1",157646.666666667,172263.333333333,162166.666666667,157203.333333333,176973.333333333,173163.333333333,179880,173053.333333333
"ALDH1A3",56329.6666666667,51998,45237.6666666667,80393.3333333333,126543.666666667,83815.3333333333,99972.3333333333,92400.3333333333
"ALDH1B1",135535,147018.333333333,142496.666666667,125174.666666667,139152,136081,146741,155216.666666667
"ALDH1L1",21496,17968,16425,18134.3333333333,19445.3333333333,12689.2,12710.7,15152.7333333333
"ALDH1L2",185813.333333333,215033.333333333,187623.333333333,173639.666666667,177944,170092.666666667,208870,188756.666666667
"ALDH3A1",23846.6666666667,23219,23447.3333333333,14010.6,13403.5333333333,10890.5333333333,10192.1,6396.46666666667
"ALDH3A2",205396.666666667,216586.666666667,217443.333333333,143193.333333333,147113.333333333,132436.666666667,138616.666666667,126111.333333333
"ALDH3B1",22477,26109,23255.6666666667,21221,20987.6666666667,19390.3333333333,18402,15537.3333333333
"ALDH4A1",137849,162970,156316.666666667,95410,98347,92855,94316,88506
"ALDH5A1",102484,116632.333333333,109777.333333333,58994.6666666667,58236.6666666667,60001.6666666667,62232.6666666667,58303
"ALDH6A1",118590.666666667,128637.666666667,129203,96989.6666666667,98602.3333333333,87429.3333333333,88552,77980.3333333333
"ALDH7A1",335476.666666667,355190,324300,238636.666666667,238413.333333333,235533.333333333,224370,213010
"ALDH9A1",125016.666666667,142800,136583.333333333,107147.666666667,111233.333333333,102523,110671.333333333,97636.6666666667
"ALDOA",147596,151442.666666667,142295.666666667,130376.666666667,132541.666666667,111166.666666667,118053.333333333,98304
"ALDOC",796.686666666667,885.366666666667,707.18,828.163333333333,852.7,854.703333333333,843.8,632.67
"ALG1",48872.6666666667,48197.6666666667,47612.6666666667,37379,42150.3333333333,38666.3333333333,43364,39900
"ALG10;ALG10B",1694.60666666667,1931.41333333333,1871.75666666667,1881.18333333333,1664.26,1393.76666666667,1413.76333333333,1611.72666666667
"ALG11",19786.7,19974.2,20686.6666666667,19212.2666666667,20184.7333333333,20263,20809.5333333333,20361.4
"ALG12",4130.96666666667,5216.9,5245.16666666667,5034.66666666667,5256.1,4738.4,5628.4,4630.96666666667
"ALG13",15152.7666666667,14750.6666666667,13073.0333333333,11411.7666666667,12800.4666666667,12440.8,12371.7333333333,12976.9333333333
